TokenID	item	id	rating_raw	Corpus_pred_min_length	Corpus_pred	pred_new	pred_new_noLen	pred_new_noSem	pred_new_noDirPP	pred_new_noSem_noDirPP	z.DirObjWordLength	DirObjLettLength	DirectionalPP	Semantics	Variety	VerbPart	gender	native_english	grew_up	grew_up_region	lang_other_eng_bin	lang_other_eng	linguistics_course	education	Response	Variety_ord	Variety_rev_helm	Variety_custom	rating_st	z.DirObjLettLength	rating_c	z.Corpus_pred_min_length	education_simple	group	rating_prop	rating_prop_c	corpus_prob	corpus_prop_min_length
18	B5	b10	93	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Durham	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	1.006384262686283	1.2231558930242168	43	0.3510827450542086	postgraduate	B	0.93	0.43000000000000005	0.47289404650285616	0.6890861359363097
19	B5	b7	10.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Shropshire	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-1.1057652461004959	1.2231558930242168	-39.5	0.3510827450542086	university	B	0.105	-0.395	0.47289404650285616	0.6890861359363097
20	B5	b5	81	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.6991625159536606	1.2231558930242168	31	0.3510827450542086	university	B	0.81	0.31000000000000005	0.47289404650285616	0.6890861359363097
29	B5	b15	63	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Kent	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	0.23832989585472703	1.2231558930242168	13	0.3510827450542086	postgraduate	B	0.63	0.13	0.47289404650285616	0.6890861359363097
30	B5	b16	9.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Chester	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	-1.1313670583282145	1.2231558930242168	-40.5	0.3510827450542086	no_university	B	0.095	-0.405	0.47289404650285616	0.6890861359363097
31	B5	b31	78.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Cardiff, Wales 	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	0.6351579853843643	1.2231558930242168	28.5	0.3510827450542086	no_university	B	0.785	0.28500000000000003	0.47289404650285616	0.6890861359363097
32	B5	b34	39.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Surrey	No	NA	No	secondary education	Discontinuous	BrE	BrE	BrE	-0.36331269149665846	1.2231558930242168	-10.5	0.3510827450542086	no_university	B	0.395	-0.10499999999999998	0.47289404650285616	0.6890861359363097
33	B5	b24	36.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Glasgow	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.44011812817981405	1.2231558930242168	-13.5	0.3510827450542086	university	B	0.365	-0.135	0.47289404650285616	0.6890861359363097
34	B5	b38	80.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	0.6863616098398013	1.2231558930242168	30.5	0.3510827450542086	university	B	0.805	0.30500000000000005	0.47289404650285616	0.6890861359363097
35	B5	b28	0	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Cambridge	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-1.3745842744915404	1.2231558930242168	-50	0.3510827450542086	university	B	0	-0.5	0.47289404650285616	0.6890861359363097
36	B5	b29	30.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	brighton	No	no	No	secondary education	Discontinuous	BrE	BrE	BrE	-0.5937290015461253	1.2231558930242168	-19.5	0.3510827450542086	no_university	B	0.305	-0.195	0.47289404650285616	0.6890861359363097
37	B5	b43	71.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	Aberdeen	No	NA	No	higher education (postgraduate studies)	Discontinuous	BrE	BrE	BrE	0.45594529979033455	1.2231558930242168	21.5	0.3510827450542086	postgraduate	B	0.715	0.21499999999999997	0.47289404650285616	0.6890861359363097
38	B5	b44	21.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	female	Yes	Great Britain	Derby	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.824145311595592	1.2231558930242168	-28.5	0.3510827450542086	university	B	0.215	-0.28500000000000003	0.47289404650285616	0.6890861359363097
39	B5	b45	25	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	BrE	drive away	male	Yes	Great Britain	London	No	NA	No	higher education (undergraduate studies)	Discontinuous	BrE	BrE	BrE	-0.7345389687985772	1.2231558930242168	-25	0.3510827450542086	university	B	0.25	-0.25	0.47289404650285616	0.6890861359363097
